AreaId	SlotNumber	Name
0	1	Leaf Slime
0	2	Spiky Caterpillar
0	3	Bush Rabbit
0	4	Acorn Boar
0	5	Red Ant
0	6	Mushroom Spider
0	7	Forest Fairy
0	8	Bark Crab
0	9	Flower Bee
0	10	Ancient Ent
1	1	Iron Mole
1	2	Scrap Golem
1	3	Cave Spider
1	4	Miner Zombie
1	5	Rock Slime
1	6	Rusty Centipede
1	7	Coal Mimic
1	8	Oil Sludge
1	9	Canary Ghost
1	10	Runaway Minecart
2	1	Crystal Bat
2	2	Glow Mushroom
2	3	Stone Turtle
2	4	Echo Echo
2	5	Blind Lizard
2	6	Stalactite Snake
2	7	Phosphor Worm
2	8	Amethyst Beetle
2	9	Mud Creeper
2	10	Geode Titan
3	1	Rusty Armor
3	2	Gargoyle
3	3	Ruins Rat
3	4	Cursed Candelabra
3	5	Weeping Portrait
3	6	Broken Shield Golem
3	7	Ruins Crow
3	8	Shadow Lurker
3	9	Ghost Maid
3	10	Dusk Gargoyle King
4	1	Ice Element
4	2	Snow Yeti
4	3	Frost Raptor
4	4	Chilled Slime
4	5	Winter Fox
4	6	Blizzard Hawk
4	7	Snowman Mimic
4	8	Icicle Spider
4	9	Frozen Wolf
4	10	Frost-Bite Mammoth
5	1	Lava Slime
5	2	Fire Hound
5	3	Magma Crab
5	4	Ash Butterfly
5	5	Sulfur Beetle
5	6	Volcanic Turtle
5	7	Blaze Wisp
5	8	Obsidian Imp
5	9	Scorched Basilisk
5	10	Hellfire Phoenix
6	1	Skeleton Warrior
6	2	Phantom Ghost
6	3	Vampire Bat
6	4	Zombie Guard
6	5	Ghoul Hound
6	6	Shadow Cape
6	7	Banshee
6	8	Bone Spider
6	9	Wraith Knight
6	10	Lich King
7	1	Shadow Imp
7	2	Void Eye
7	3	Abyss Jellyfish
7	4	Rift Seeker
7	5	Eldritch Leech
7	6	Dark Nebula
7	7	Abyssal Crab
7	8	Void Larva
7	9	Shadow Tendril
7	10	Abyss Kraken
8	1	Dragon Hatchling
8	2	Drake Warrior
8	3	Wyvern
8	4	Dragon Whelp
8	5	Scale Slime
8	6	Fire Drake
8	7	Dragon Egg Mimic
8	8	Salamander Mage
8	9	Armored Drake
8	10	Ancient Red Dragon
9	1	Gilded Statue
9	2	Cloud Pegasus
9	3	Sky Archangel
9	4	Zephyr Griffin
9	5	Light Wisp
9	6	Marble Golem
9	7	Valiant Valkyrie
9	8	Sky Ray
9	9	Seraphim Cherub
9	10	Divine Zephyrus
10	1	Star Fragment
10	2	Astral Sphinx
10	3	Meteor Golem
10	4	Zodiac Crab
10	5	Moon Phase Slime
10	6	Comet Tail
10	7	Starlight Owl
10	8	Nebula Pixie
10	9	Galaxy Serpent
10	10	Cosmic Orion
11	1	Rift Glitch
11	2	Dimension Devourer
11	3	Time Watcher
11	4	Paradox Slime
11	5	Cyber Imp
11	6	Data Leak
11	7	Rift Void-Walker
11	8	Mirror Doppelganger
11	9	Quantum Matrix
11	10	Infinity Core
